,Rank,Club,Stat
0,1.0,Chelsea,122
1,2.0,Manchester City,86
2,3.0,Liverpool,77
3,4.0,Leicester City,68
4,5.0,Tottenham Hotspur,60
5,6.0,West Ham United,57
6,7.0,AFC Bournemouth,51
7,8.0,Arsenal,49
8,9.0,Manchester United,45
9,10.0,Wolverhampton Wanderers,45
10,11.0,Newcastle United,39
11,12.0,Everton,35
12,13.0,Cardiff City,30
13,14.0,Watford,28
14,15.0,Burnley,26
15,16.0,Southampton,26
16,17.0,Fulham,24
17,18.0,Crystal Palace,22
18,19.0,Huddersfield Town,17
19,20.0,Brighton and Hove Albion,10
